borrower_id,sector,lender_type,age,monthly_income_kes,employment_tenure_months,digital_loans_last_90d,utility_payment_score,mobile_money_consistency,existing_loans,loan_amount_kes,dti_ratio,effective_apr,prior_default,default
B101868,Manufacturing,Bank,40,17173.0,6,0,0.593,0.598,1,60659.0,0.177,16.7,0,0
B101869,Personal/Household,Digital Lender,30,27999.0,23,2,0.921,0.899,2,233542.0,0.417,126.8,0,0
B101870,Agriculture,Bank,23,25025.0,15,1,0.551,0.8,3,130809.0,0.261,13.0,0,0
B101871,Real Estate,MFI,25,15784.0,62,2,0.894,0.536,2,69544.0,0.22,23.5,0,0
B101872,Services,Digital Lender,44,16735.0,37,3,0.849,0.25,2,139353.0,0.416,109.1,0,0
B101873,Services,Digital Lender,18,31906.0,12,3,0.71,0.68,0,191812.0,0.301,207.4,0,0
B101874,Services,MFI,45,31596.0,10,2,0.553,0.552,3,274729.0,0.435,20.4,0,0
B101875,Personal/Household,Bank,46,19532.0,18,2,0.823,0.784,4,110919.0,0.284,15.9,0,0
B101876,Agriculture,Bank,32,31057.0,28,3,0.682,0.612,1,99824.0,0.161,15.3,0,0
B101877,Agriculture,Bank,21,20831.0,30,1,0.638,0.558,1,35600.0,0.085,12.2,0,0
B101878,Manufacturing,Digital Lender,41,61017.0,39,3,0.745,0.577,1,122410.0,0.1,121.0,0,0
B101879,Manufacturing,Bank,30,28095.0,10,3,0.923,0.759,2,210848.0,0.375,16.0,0,1
B101880,Manufacturing,SACCO,20,54374.0,13,1,0.744,0.683,1,335780.0,0.309,16.0,0,0
B101881,Transport,Bank,54,11720.0,7,2,0.975,0.595,2,61867.0,0.264,15.8,1,1
B101882,Real Estate,MFI,26,35508.0,2,3,0.575,0.688,0,159724.0,0.225,14.0,1,1
B101883,Personal/Household,Bank,20,41268.0,35,1,0.822,0.763,1,156715.0,0.19,16.8,0,0
B101884,Agriculture,MFI,38,27561.0,88,2,0.913,0.554,1,185324.0,0.336,22.7,0,0
B101885,Agriculture,MFI,34,22107.0,16,3,0.773,0.466,2,142723.0,0.323,17.5,0,1
B101886,Trade,Digital Lender,50,27320.0,22,1,0.828,0.651,2,87987.0,0.161,221.2,0,0
B101887,Trade,Digital Lender,31,44728.0,34,1,0.909,0.238,2,181814.0,0.203,250.5,0,0
B101888,Personal/Household,SACCO,31,15279.0,78,2,0.958,0.593,1,22972.0,0.075,8.0,0,0
B101889,Real Estate,Bank,38,43707.0,2,1,0.922,0.724,3,141770.0,0.162,14.1,0,0
B101890,Agriculture,Digital Lender,37,35422.0,11,0,0.706,0.681,0,293939.0,0.415,137.4,0,0
B101891,Personal/Household,Digital Lender,37,25760.0,38,5,0.792,0.737,3,197515.0,0.383,151.3,0,0
B101892,Manufacturing,Digital Lender,38,26372.0,69,7,0.365,0.522,4,209087.0,0.396,85.9,0,0
B101893,Trade,MFI,37,30762.0,26,1,0.717,0.874,3,61353.0,0.1,17.4,0,0
B101894,Agriculture,Bank,31,74031.0,14,2,0.719,0.301,0,460105.0,0.311,13.7,0,0
B101895,Trade,Digital Lender,43,36005.0,39,5,0.465,0.836,0,218381.0,0.303,95.3,0,0
B101896,Transport,Bank,31,17704.0,20,0,0.852,0.694,0,114008.0,0.322,15.6,0,0
B101897,Agriculture,Bank,43,23402.0,8,2,0.87,0.762,2,81573.0,0.174,14.1,0,0
B101898,Trade,Bank,49,15843.0,52,0,0.724,0.712,2,139632.0,0.441,14.9,0,1
B101899,Trade,MFI,28,10516.0,41,1,0.837,0.748,2,52571.0,0.25,16.0,0,0
B101900,Transport,Bank,59,15691.0,10,4,0.933,0.848,0,32276.0,0.103,14.8,0,0
B101901,Trade,SACCO,28,31763.0,34,2,0.898,0.845,1,202515.0,0.319,17.8,0,0
B101902,Personal/Household,SACCO,28,59915.0,29,4,0.388,0.744,1,104256.0,0.087,14.8,0,0
B101903,Trade,MFI,40,51414.0,0,3,0.601,0.42,4,321506.0,0.313,17.3,0,1
B101904,Transport,Bank,39,15750.0,8,3,0.914,0.557,0,28502.0,0.09,13.7,0,0
B101905,Real Estate,Digital Lender,36,19174.0,6,1,0.829,0.603,3,42785.0,0.112,262.0,0,0
B101906,Real Estate,MFI,43,17743.0,7,0,0.63,0.519,2,75944.0,0.214,22.7,0,0
B101907,Trade,MFI,38,8000.0,8,3,0.787,0.713,3,32400.0,0.202,18.9,0,1
B101908,Personal/Household,MFI,56,27114.0,56,0,0.655,0.913,2,72262.0,0.133,18.1,0,0
B101909,Services,Bank,34,46249.0,14,2,0.942,0.802,1,255247.0,0.276,17.5,0,0
B101910,Trade,SACCO,26,25879.0,24,1,0.61,0.537,2,136959.0,0.265,17.1,0,0
B101911,Trade,Bank,29,14805.0,55,2,0.726,0.766,0,95330.0,0.322,14.0,0,0
B101912,Services,Digital Lender,40,18679.0,41,0,0.61,0.579,3,108497.0,0.29,231.0,0,0
B101913,Manufacturing,Bank,40,24813.0,6,1,0.69,0.797,1,162391.0,0.327,15.1,0,0
B101914,Trade,Digital Lender,37,45416.0,17,1,0.59,0.649,1,390064.0,0.429,274.6,0,0
B101915,Trade,SACCO,27,26888.0,104,2,0.756,0.531,3,58887.0,0.109,14.4,1,0
B101916,Transport,Bank,46,42159.0,16,1,0.529,0.458,4,294053.0,0.349,17.0,0,0
B101917,Personal/Household,MFI,54,28432.0,15,0,0.356,0.453,3,150417.0,0.265,19.3,0,0
B101918,Transport,Bank,35,33868.0,44,0,0.874,0.298,3,139455.0,0.206,15.3,0,1
B101919,Services,Digital Lender,53,17728.0,34,1,0.905,0.977,0,41785.0,0.118,180.6,0,0
B101920,Manufacturing,Digital Lender,44,20390.0,7,2,0.685,0.699,3,140274.0,0.344,270.2,1,0
B101921,Agriculture,MFI,57,14903.0,22,1,0.597,0.924,5,36883.0,0.124,23.4,0,1
B101922,Real Estate,MFI,40,41395.0,74,2,0.925,0.861,0,242365.0,0.293,21.7,0,0
B101923,Agriculture,Digital Lender,36,25333.0,35,3,0.841,0.699,1,97615.0,0.193,133.7,0,0
B101924,Agriculture,SACCO,43,8000.0,38,1,0.344,0.917,0,28753.0,0.18,18.8,0,0
B101925,Trade,MFI,31,38740.0,12,1,0.858,0.536,0,94197.0,0.122,19.1,0,0
B101926,Agriculture,Bank,39,50806.0,43,0,0.89,0.833,3,410583.0,0.404,13.6,0,0
B101927,Personal/Household,Bank,48,19026.0,34,1,0.799,0.437,0,97307.0,0.256,18.3,0,0
B101928,Trade,SACCO,43,38722.0,20,1,0.892,0.781,2,239929.0,0.31,13.3,0,0
B101929,Real Estate,SACCO,35,26493.0,93,1,0.748,0.681,2,99712.0,0.188,16.6,0,0
B101930,Transport,Digital Lender,37,9276.0,40,0,0.784,0.616,1,40821.0,0.22,304.9,0,0
B101931,Transport,MFI,43,87041.0,130,2,0.849,0.642,2,216581.0,0.124,20.6,0,0
B101932,Personal/Household,SACCO,42,26581.0,20,0,0.633,0.514,1,176642.0,0.332,10.2,0,0
B101933,Personal/Household,MFI,43,33216.0,17,3,0.644,0.698,0,278268.0,0.419,22.6,0,0
B101934,Personal/Household,Digital Lender,38,21088.0,44,4,0.636,0.675,5,135821.0,0.322,205.1,0,0
B101935,Trade,MFI,27,25272.0,12,1,0.564,0.762,3,207922.0,0.411,20.9,0,1
B101936,Real Estate,Digital Lender,28,32497.0,7,3,0.58,0.873,1,51719.0,0.08,197.4,0,1
B101937,Transport,Bank,40,16758.0,2,1,0.849,0.833,2,100826.0,0.301,11.9,0,0
B101938,Agriculture,SACCO,43,75484.0,20,1,0.882,0.696,2,169675.0,0.112,12.6,0,0
B101939,Trade,Digital Lender,42,47145.0,0,1,0.732,0.93,2,94876.0,0.101,84.1,1,0
B101940,Agriculture,Digital Lender,28,39508.0,14,3,0.878,0.837,0,340903.0,0.431,163.1,0,1
B101941,Real Estate,Bank,33,27502.0,4,6,0.824,0.604,2,232870.0,0.423,13.8,0,1
B101942,Real Estate,SACCO,23,19562.0,17,1,0.612,0.515,2,149970.0,0.383,10.0,0,0
B101943,Trade,Bank,21,52394.0,9,1,0.778,0.753,0,275798.0,0.263,15.9,0,0
B101944,Personal/Household,Bank,36,41601.0,40,2,0.702,0.363,3,235633.0,0.283,12.0,0,0
B101945,Services,Digital Lender,49,23869.0,3,5,0.694,0.78,0,158825.0,0.333,305.9,0,1
B101946,Trade,Digital Lender,36,16375.0,93,3,0.723,0.858,3,124862.0,0.381,282.7,0,0
B101947,Services,Bank,54,12497.0,3,2,0.788,0.597,2,83172.0,0.333,14.1,0,0
B101948,Trade,Digital Lender,33,30204.0,52,1,0.6,0.947,2,58936.0,0.098,85.8,0,0
B101949,Services,MFI,35,25928.0,1,1,0.775,0.432,2,75698.0,0.146,21.0,0,0
B101950,Services,Digital Lender,25,57073.0,3,5,0.801,0.551,2,377099.0,0.33,60.7,0,1
B101951,Trade,Digital Lender,32,51314.0,16,3,0.782,0.427,4,281853.0,0.275,82.9,0,0
B101952,Personal/Household,Digital Lender,23,30376.0,8,0,0.708,0.65,3,68802.0,0.113,89.5,0,0
B101953,Services,Digital Lender,20,28435.0,4,0,0.768,0.811,5,153931.0,0.271,20.7,0,0
B101954,Services,Digital Lender,23,15778.0,3,3,0.891,0.425,0,106639.0,0.338,133.3,0,0
B101955,Services,SACCO,36,53292.0,68,5,0.938,0.883,4,288804.0,0.271,14.1,0,0
B101956,Manufacturing,Bank,28,28819.0,26,1,0.752,0.444,2,77550.0,0.135,15.3,0,0
B101957,Trade,Bank,30,41477.0,17,3,0.694,0.235,0,208140.0,0.251,14.8,0,0
B101958,Personal/Household,Digital Lender,39,56797.0,16,4,0.623,0.798,1,220741.0,0.194,139.9,0,0
B101959,Transport,Bank,20,21784.0,50,5,0.741,0.745,1,150710.0,0.346,9.0,0,1
B101960,Transport,Digital Lender,36,18857.0,150,4,0.781,0.404,2,66632.0,0.177,234.9,1,0
B101961,Real Estate,Bank,43,115588.0,37,1,0.975,0.821,1,298524.0,0.129,15.0,0,0
B101962,Manufacturing,Digital Lender,44,41232.0,23,4,0.848,0.313,1,254983.0,0.309,115.4,0,0
B101963,Trade,MFI,40,25509.0,26,3,0.755,0.588,3,161006.0,0.316,18.4,1,0
B101964,Personal/Household,Digital Lender,34,58803.0,12,3,0.853,0.498,0,160571.0,0.137,87.3,0,0
B101965,Trade,Digital Lender,29,25096.0,26,0,0.907,0.864,1,102594.0,0.204,39.5,0,0
B101966,Personal/Household,MFI,34,35561.0,30,2,0.933,0.838,1,53903.0,0.076,18.8,0,1
B101967,Personal/Household,SACCO,52,21752.0,6,2,0.668,0.931,1,100847.0,0.232,8.0,0,0
B101968,Real Estate,Bank,38,29456.0,24,1,0.633,0.779,2,150418.0,0.255,13.3,0,0
B101969,Manufacturing,Digital Lender,34,25572.0,35,0,0.717,0.571,1,113666.0,0.222,8.8,0,0
B101970,Agriculture,Digital Lender,41,19662.0,48,3,0.901,0.555,2,56155.0,0.143,195.0,0,0
B101971,Services,Bank,35,33982.0,27,1,0.843,0.387,2,303520.0,0.447,17.9,0,0
B101972,Personal/Household,Bank,37,20927.0,3,0,0.765,0.62,1,134703.0,0.322,11.4,0,0
B101973,Agriculture,MFI,33,40815.0,2,4,0.757,0.77,0,220622.0,0.27,22.7,0,1
B101974,Trade,Bank,31,25147.0,5,2,0.403,0.419,4,197340.0,0.392,16.5,0,1
B101975,Trade,Digital Lender,45,11544.0,7,1,0.514,0.946,3,40243.0,0.174,294.2,0,0
B101976,Real Estate,Bank,18,41834.0,39,1,0.944,0.712,2,112822.0,0.135,15.6,0,0
B101977,Services,Digital Lender,40,42221.0,32,3,0.753,0.665,3,203310.0,0.241,63.5,0,0
B101978,Personal/Household,Digital Lender,30,102688.0,15,3,0.812,0.536,2,770155.0,0.375,116.5,0,0
B101979,Trade,Digital Lender,18,30024.0,34,4,0.922,0.701,2,199508.0,0.332,148.1,0,0
B101980,Personal/Household,SACCO,25,32887.0,15,1,0.817,0.66,2,112804.0,0.171,10.1,0,0
B101981,Agriculture,Bank,35,38686.0,62,2,0.905,0.551,1,161368.0,0.209,17.6,0,0
B101982,Personal/Household,Digital Lender,36,52096.0,18,3,0.66,0.68,1,329086.0,0.316,77.2,0,0
B101983,Agriculture,SACCO,42,50335.0,70,1,0.644,0.86,2,403549.0,0.401,14.9,0,0
B101984,Transport,Digital Lender,43,35431.0,17,2,0.691,0.741,2,242974.0,0.343,131.4,0,0
B101985,Services,Bank,20,29198.0,76,3,0.501,0.428,2,138209.0,0.237,15.4,0,0
B101986,Agriculture,Bank,39,47262.0,16,2,0.95,0.674,0,159432.0,0.169,15.5,0,0
B101987,Personal/Household,Digital Lender,42,28537.0,0,2,0.576,0.769,2,143542.0,0.251,94.0,0,0
B101988,Services,Digital Lender,37,14632.0,27,4,0.908,0.722,3,25965.0,0.089,248.1,0,0
B101989,Trade,Bank,40,13021.0,0,0,0.832,0.546,1,34554.0,0.133,13.6,0,0
B101990,Trade,SACCO,18,25304.0,8,4,0.847,0.35,1,109361.0,0.216,13.4,0,1
B101991,Transport,Bank,25,31761.0,8,0,0.467,0.497,2,211177.0,0.332,13.8,0,0
B101992,Agriculture,MFI,49,115800.0,32,2,0.721,0.732,4,982674.0,0.424,17.5,0,0
B101993,Trade,Bank,32,27833.0,37,0,0.793,0.768,3,87490.0,0.157,16.8,0,0
B101994,Real Estate,Bank,57,30505.0,26,2,0.546,0.718,7,137473.0,0.225,12.5,0,0
B101995,Personal/Household,Bank,22,23804.0,11,0,0.861,0.823,1,151223.0,0.318,16.0,0,0
B101996,Agriculture,Bank,51,41787.0,18,0,0.878,0.764,3,181893.0,0.218,14.0,0,0
B101997,Agriculture,MFI,29,34689.0,8,1,0.731,0.642,3,282052.0,0.407,20.7,0,1
B101998,Personal/Household,Bank,44,20929.0,76,1,0.707,0.636,2,91836.0,0.219,15.0,0,0
B101999,Manufacturing,MFI,32,17046.0,77,1,0.808,0.642,0,131378.0,0.385,24.6,0,0
B102000,Personal/Household,MFI,36,23830.0,5,1,0.832,0.758,4,214020.0,0.449,22.0,0,0
B102001,Real Estate,SACCO,41,18698.0,28,1,0.842,0.703,1,40915.0,0.109,17.1,0,0
B102002,Services,SACCO,29,26183.0,28,3,0.728,0.669,1,71571.0,0.137,8.6,0,0
B102003,Transport,Bank,43,32139.0,30,1,0.845,0.404,0,74817.0,0.116,15.7,0,0
B102004,Trade,Bank,32,22569.0,61,0,0.78,0.644,2,88207.0,0.195,12.4,1,1
B102005,Services,Digital Lender,37,66169.0,23,0,0.701,0.822,0,318412.0,0.241,245.7,0,1
B102006,Manufacturing,Digital Lender,18,56256.0,81,1,0.96,0.488,2,259743.0,0.231,309.3,0,0
B102007,Trade,Digital Lender,32,26206.0,0,2,0.475,0.292,0,186677.0,0.356,348.7,0,0
B102008,Trade,Digital Lender,48,17496.0,39,2,0.581,0.633,3,148632.0,0.425,240.1,1,0
B102009,Personal/Household,SACCO,42,29249.0,27,5,0.753,0.7,0,224618.0,0.384,13.1,0,0
B102010,Trade,Digital Lender,44,27624.0,10,1,0.969,0.529,0,199754.0,0.362,130.7,0,0
B102011,Agriculture,MFI,36,28723.0,1,2,0.949,0.594,2,175808.0,0.306,17.7,1,0
B102012,Trade,Digital Lender,52,23887.0,4,1,0.515,0.675,2,166009.0,0.347,192.5,0,0
B102013,Real Estate,Digital Lender,38,16694.0,5,4,0.703,0.483,3,117540.0,0.352,129.8,1,1
B102014,Real Estate,Digital Lender,28,30309.0,86,7,0.905,0.495,3,59200.0,0.098,131.3,0,0
B102015,Manufacturing,MFI,44,24515.0,41,1,0.661,0.608,2,219405.0,0.447,31.8,0,0
B102016,Agriculture,Bank,44,25743.0,3,2,0.529,0.761,0,162878.0,0.316,15.1,0,1
B102017,Trade,Bank,41,31310.0,8,1,0.758,0.783,2,143262.0,0.229,14.2,0,0
B102018,Transport,Bank,31,28620.0,92,2,0.744,0.851,1,63445.0,0.111,12.4,1,0
B102019,Agriculture,Digital Lender,38,30937.0,16,4,0.984,0.666,2,262991.0,0.425,176.0,1,1
B102020,Transport,SACCO,49,23898.0,68,1,0.743,0.762,3,49985.0,0.105,17.2,0,0
B102021,Trade,Bank,40,36246.0,7,1,0.808,0.449,3,262101.0,0.362,11.8,0,1
B102022,Trade,SACCO,20,20034.0,11,3,0.908,0.408,1,89275.0,0.223,13.0,0,1
B102023,Agriculture,Bank,29,16344.0,38,1,0.929,0.321,3,109338.0,0.334,11.1,0,1
B102024,Real Estate,MFI,28,18224.0,13,0,0.875,0.876,2,115068.0,0.316,24.2,0,1
B102025,Real Estate,Bank,27,20493.0,27,0,0.932,0.76,1,73605.0,0.18,14.1,0,1
B102026,Personal/Household,MFI,18,14643.0,25,4,0.741,0.754,3,127847.0,0.437,15.0,0,0
B102027,Agriculture,SACCO,54,11720.0,16,1,0.656,0.729,1,27692.0,0.118,11.9,1,1
B102028,Manufacturing,SACCO,26,39218.0,27,0,0.324,0.63,4,73821.0,0.094,12.7,0,0
B102029,Transport,Digital Lender,27,59924.0,41,2,0.598,0.884,5,471694.0,0.394,243.6,0,0
B102030,Trade,Bank,18,40406.0,21,2,0.748,0.816,0,216576.0,0.268,14.6,0,0
B102031,Manufacturing,SACCO,44,22795.0,14,3,0.583,0.803,1,110037.0,0.241,13.9,0,0
B102032,Agriculture,Bank,34,11568.0,62,0,0.848,0.7,1,46219.0,0.2,13.8,0,0
B102033,Real Estate,MFI,31,33043.0,21,1,0.676,0.656,2,65748.0,0.099,18.3,0,0
B102034,Trade,SACCO,32,12283.0,5,1,0.795,0.779,2,22854.0,0.093,8.0,0,0
B102035,Personal/Household,SACCO,41,28349.0,41,2,0.643,0.865,2,58099.0,0.102,13.2,0,0
B102036,Services,Digital Lender,30,19153.0,4,2,0.59,0.667,2,35749.0,0.093,228.7,0,0
B102037,Trade,Bank,18,8482.0,2,0,0.985,0.547,2,25824.0,0.152,12.9,0,0
B102038,Transport,Digital Lender,22,67124.0,3,3,0.789,0.287,3,143625.0,0.107,54.9,0,1
B102039,Personal/Household,Bank,22,14903.0,34,2,0.861,0.86,6,49335.0,0.166,17.4,1,1
B102040,Agriculture,MFI,38,24448.0,99,1,0.631,0.705,2,67567.0,0.138,19.7,1,0
B102041,Personal/Household,Digital Lender,44,27697.0,69,3,0.846,0.535,2,158460.0,0.286,141.5,0,1
B102042,Transport,SACCO,50,22954.0,109,2,0.881,0.404,0,73087.0,0.159,16.8,0,0
B102043,Services,Digital Lender,19,38389.0,6,1,0.849,0.665,1,192632.0,0.251,29.9,0,0
B102044,Services,Digital Lender,41,19781.0,31,3,0.874,0.387,4,43501.0,0.11,128.8,1,1
B102045,Trade,Bank,29,36682.0,4,0,0.915,0.752,4,130501.0,0.178,14.8,0,0
B102046,Real Estate,Digital Lender,64,35425.0,21,6,0.758,0.796,0,228265.0,0.322,8.0,0,0
B102047,Manufacturing,Digital Lender,49,13936.0,8,2,0.857,0.592,2,38151.0,0.137,141.3,0,0
B102048,Trade,MFI,52,33851.0,18,1,0.766,0.841,1,169891.0,0.251,23.2,0,0
B102049,Agriculture,Bank,43,16652.0,8,1,0.866,0.67,3,104133.0,0.313,14.1,0,0
B102050,Services,Bank,39,15661.0,65,2,0.459,0.555,2,73600.0,0.235,13.4,0,0
B102051,Trade,Digital Lender,31,34885.0,62,4,0.872,0.437,2,311668.0,0.447,214.2,0,0
B102052,Real Estate,Digital Lender,29,23752.0,20,3,0.39,0.667,2,64227.0,0.135,82.2,0,0
B102053,Personal/Household,Digital Lender,27,36502.0,128,1,0.901,0.752,1,151550.0,0.208,172.6,0,0
B102054,Agriculture,Bank,41,36679.0,9,2,0.86,0.681,4,164883.0,0.225,15.7,0,0
B102055,Real Estate,Bank,51,13556.0,3,0,0.687,0.799,3,65228.0,0.241,14.3,0,0
B102056,Services,MFI,31,44683.0,16,3,0.94,0.776,3,105034.0,0.118,19.7,1,0
B102057,Real Estate,Bank,28,34779.0,26,2,0.79,0.932,1,220522.0,0.317,12.4,0,1
B102058,Trade,Bank,20,21533.0,0,0,0.657,0.612,4,169510.0,0.394,13.5,0,1
B102059,Trade,Bank,37,27592.0,7,2,0.68,0.753,0,246431.0,0.447,14.8,0,0
B102060,Services,Bank,47,45389.0,22,0,0.775,0.932,2,264570.0,0.291,16.1,0,0
B102061,Agriculture,Bank,48,24940.0,71,3,0.665,0.56,2,66300.0,0.133,15.9,0,0
B102062,Manufacturing,Digital Lender,49,95167.0,48,4,0.777,0.724,6,207509.0,0.109,91.9,0,0
B102063,Trade,Bank,39,67500.0,90,1,0.816,0.761,0,306605.0,0.227,15.4,0,0
B102064,Real Estate,MFI,36,31705.0,0,0,0.814,0.895,2,70056.0,0.11,22.7,0,0
B102065,Services,SACCO,48,26229.0,53,1,0.762,0.847,2,111768.0,0.213,13.4,0,0
B102066,Manufacturing,Digital Lender,24,26861.0,25,1,0.932,0.651,2,240041.0,0.447,179.9,0,0
B102067,Services,Digital Lender,31,21368.0,14,2,0.621,0.852,2,96611.0,0.226,64.2,0,0
B102068,Agriculture,SACCO,52,31853.0,39,1,0.911,0.873,1,111132.0,0.174,12.9,0,0
B102069,Manufacturing,SACCO,24,43397.0,56,2,0.951,0.638,3,197587.0,0.228,15.6,0,0
B102070,Personal/Household,SACCO,35,14154.0,11,3,0.479,0.706,5,81612.0,0.288,14.1,0,0
B102071,Real Estate,SACCO,41,42342.0,33,1,0.896,0.893,1,147562.0,0.174,17.6,1,0
B102072,Agriculture,MFI,36,49685.0,2,1,0.715,0.367,2,262694.0,0.264,8.0,1,1
B102073,Personal/Household,MFI,46,40729.0,4,2,0.511,0.457,2,359669.0,0.442,18.3,0,0
B102074,Real Estate,MFI,50,27682.0,35,4,0.951,0.737,0,97943.0,0.177,19.0,0,0
B102075,Manufacturing,Bank,40,39809.0,17,0,0.854,0.544,2,180274.0,0.226,15.3,0,0
B102076,Services,Bank,49,60755.0,4,0,0.685,0.631,0,284302.0,0.234,14.3,0,0
B102077,Trade,Bank,26,28796.0,14,2,0.613,0.743,3,222884.0,0.387,13.3,0,0
B102078,Agriculture,MFI,33,30121.0,12,1,0.872,0.652,0,165003.0,0.274,11.4,0,0
B102079,Trade,MFI,59,96076.0,40,2,0.622,0.647,1,787853.0,0.41,16.2,0,0
B102080,Real Estate,MFI,54,35206.0,49,0,0.814,0.505,3,257006.0,0.365,20.6,1,0
B102081,Trade,Bank,22,17086.0,23,1,0.767,0.462,2,108970.0,0.319,14.0,0,0
B102082,Personal/Household,Bank,35,48057.0,18,4,0.631,0.768,2,76711.0,0.08,17.7,0,1
B102083,Trade,Bank,36,37089.0,102,0,0.718,0.662,1,184527.0,0.249,16.4,0,0
B102084,Transport,SACCO,39,20734.0,25,0,0.888,0.775,1,162328.0,0.391,12.7,1,0
B102085,Agriculture,Bank,48,16201.0,25,1,0.906,0.596,2,142025.0,0.438,13.5,0,0
B102086,Agriculture,Bank,53,33902.0,18,5,0.745,0.647,1,282344.0,0.416,16.3,0,0
B102087,Agriculture,Bank,35,28766.0,8,1,0.637,0.346,4,230772.0,0.401,12.8,0,0
B102088,Personal/Household,MFI,46,14998.0,40,0,0.86,0.571,3,92292.0,0.308,18.7,0,0
B102089,Real Estate,Bank,41,28320.0,48,2,0.864,0.595,1,98813.0,0.174,16.5,1,0
B102090,Agriculture,MFI,35,27356.0,14,3,0.734,0.598,3,150669.0,0.275,20.8,0,0
B102091,Personal/Household,MFI,18,28729.0,24,2,0.678,0.858,0,179982.0,0.313,14.0,0,0
B102092,Manufacturing,Digital Lender,45,38963.0,19,5,0.732,0.826,3,293824.0,0.377,132.8,0,0
B102093,Trade,SACCO,41,11282.0,8,0,0.691,0.6,2,26199.0,0.116,10.5,0,0
B102094,Services,Bank,39,16128.0,2,1,0.782,0.539,0,28020.0,0.087,15.2,0,0
B102095,Agriculture,Bank,25,22747.0,10,1,0.683,0.849,2,57902.0,0.127,10.5,0,0
B102096,Trade,Digital Lender,55,61660.0,46,1,0.879,0.617,2,444243.0,0.36,91.3,0,0
B102097,Manufacturing,Bank,37,109347.0,7,2,0.745,0.77,1,766391.0,0.35,14.5,0,0
B102098,Trade,Digital Lender,24,29812.0,17,5,0.904,0.689,2,230961.0,0.387,110.4,1,0
B102099,Agriculture,MFI,22,30487.0,3,1,0.774,0.907,2,126849.0,0.208,17.1,0,0
B102100,Personal/Household,Bank,42,8000.0,2,3,0.771,0.798,2,67459.0,0.422,13.4,0,0
B102101,Trade,Bank,42,48896.0,31,2,0.839,0.784,1,116933.0,0.12,14.9,0,0
B102102,Personal/Household,Digital Lender,30,38075.0,35,2,0.687,0.879,2,152192.0,0.2,126.8,0,0
B102103,Services,Digital Lender,40,34743.0,68,1,0.901,0.795,1,249514.0,0.359,37.1,0,0
B102104,Transport,Digital Lender,42,14982.0,38,1,0.752,0.778,2,96280.0,0.321,133.9,0,0
B102105,Personal/Household,Bank,36,88339.0,63,0,0.89,0.663,2,314901.0,0.178,13.7,0,1
B102106,Personal/Household,Digital Lender,28,68617.0,11,3,0.738,0.403,3,429662.0,0.313,143.6,1,1
B102107,Services,Bank,45,34958.0,24,0,0.865,0.681,2,256288.0,0.367,11.1,0,1
B102108,Agriculture,Bank,43,51308.0,51,0,0.641,0.677,3,248556.0,0.242,13.6,1,0
B102109,Trade,SACCO,41,30580.0,11,1,0.915,0.744,1,98681.0,0.161,11.5,0,0
B102110,Manufacturing,Digital Lender,27,46704.0,41,1,0.816,0.679,1,375197.0,0.402,280.0,0,0
B102111,Manufacturing,MFI,22,14487.0,43,2,0.816,0.433,1,58173.0,0.201,17.3,0,0
B102112,Trade,MFI,36,8514.0,2,3,0.625,0.805,3,73228.0,0.43,20.3,0,1
B102113,Transport,Bank,44,14791.0,37,3,0.858,0.755,1,119618.0,0.404,12.9,0,0
B102114,Trade,MFI,45,19081.0,112,4,0.634,0.882,3,62391.0,0.163,21.1,0,0
B102115,Services,Bank,41,20869.0,3,1,0.874,0.682,1,113906.0,0.273,13.5,0,0
B102116,Agriculture,Digital Lender,30,38043.0,65,3,0.442,0.56,1,218868.0,0.288,91.2,0,0
B102117,Trade,Bank,27,25809.0,29,4,0.749,0.398,2,50967.0,0.099,15.5,0,0
B102118,Trade,SACCO,35,29268.0,56,0,0.714,0.743,1,127331.0,0.218,19.8,0,0
B102119,Agriculture,Bank,35,15498.0,19,3,0.781,0.805,1,93249.0,0.301,15.6,0,0
B102120,Agriculture,MFI,46,14777.0,12,1,0.96,0.791,0,69832.0,0.236,23.9,0,0
B102121,Trade,Bank,30,30412.0,64,3,0.57,0.547,4,241267.0,0.397,17.4,1,1
B102122,Agriculture,MFI,31,22067.0,117,3,0.917,0.525,0,98145.0,0.222,18.3,0,1
B102123,Trade,MFI,56,29807.0,25,2,0.698,0.825,2,107344.0,0.18,15.2,0,0
B102124,Agriculture,SACCO,51,40112.0,28,2,0.425,0.762,1,349522.0,0.436,15.7,0,0
B102125,Real Estate,Digital Lender,26,73256.0,35,5,0.963,0.851,2,577587.0,0.394,191.6,0,1
B102126,Agriculture,Bank,50,29400.0,27,2,0.737,0.658,0,218088.0,0.371,15.3,0,0
B102127,Agriculture,SACCO,24,80607.0,27,2,0.564,0.838,1,209989.0,0.13,12.0,0,0
B102128,Trade,Digital Lender,31,37177.0,107,3,0.897,0.914,1,174354.0,0.234,198.3,0,1
B102129,Trade,Bank,32,43444.0,48,2,0.835,0.729,0,102889.0,0.118,14.9,0,0
B102130,Trade,Digital Lender,34,53061.0,52,4,0.868,0.758,2,141897.0,0.134,196.8,0,0
B102131,Personal/Household,Digital Lender,41,44173.0,27,3,0.875,0.738,3,350202.0,0.396,145.1,0,0
B102132,Services,Digital Lender,36,19131.0,23,4,0.845,0.856,0,65219.0,0.17,8.0,0,0
